Id,PcsId,StageId,StageRaceId,StageRace,Name,RaceDate,RaceType,Distance,Elevation,Duration,Status,ProfileImageUrl,PointsScale,UciScale,ParcoursType,ProfileScore,RaceRanking,StartlistQuality,DecidingMethod,Classification,Category,PcsUrl,WcsUrl,PointsRetrieved,ResultsRetrieved,StartListRetrieved,DetailsCompleted,GameOrganized,Error,Updated
4-jours-de-dunkerque/2024,NULL,NULL,NULL,1,4 Jours de Dunkerque,NULL,NULL,NULL,NULL,NULL,Finished,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,NULL,NULL,NULL
4-jours-de-dunkerque/2024/stage-1,4-jours-de-dunkerque/2024/stage-1,stage-1,4-jours-de-dunkerque/2024,1,Stage 1 | Dunkerque - Le Touquet,2024-05-14 00:00:00.000,Multi-day race,173,1309,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/ad/4-jours-de-dunkerque-2024-stage-1-final-km.jpg,2.PRO.Stage,UCI.WR.Pro.Stage,2,22,128,161,Sprintoflargegroup,2.Pro,ME - Men Elite,https://www.procyclingstats.com/race/4-jours-de-dunkerque/2024/stage-1,https://www.worldcyclingstats.com/en/race/4-jours-de-dunkerque/2024/stage-1,1,0,0,0,NULL,NULL,2025-02-06 21:00:26.8477760
4-jours-de-dunkerque/2024/stage-2,4-jours-de-dunkerque/2024/stage-2,stage-2,4-jours-de-dunkerque/2024,1,Stage 2 | Wimereux - Abbeville,2024-05-15 00:00:00.000,Multi-day race,184,1548,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/fc/4-jours-de-dunkerque-2024-stage-2-sprint.jpg,2.PRO.Stage,UCI.WR.Pro.Stage,2,33,128,161,Sprintoflargegroup,2.Pro,ME - Men Elite,https://www.procyclingstats.com/race/4-jours-de-dunkerque/2024/stage-2,https://www.worldcyclingstats.com/en/race/4-jours-de-dunkerque/2024/stage-2,1,0,0,0,NULL,NULL,2025-02-06 21:00:30.0470800
4-jours-de-dunkerque/2024/stage-3,4-jours-de-dunkerque/2024/stage-3,stage-3,4-jours-de-dunkerque/2024,1,Stage 3 | Saint-Laurent-Blangy - Bouchain,2024-05-16 00:00:00.000,Multi-day race,165,1275,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/fa/4-jours-de-dunkerque-2024-stage-3-sprint.jpg,2.PRO.Stage,UCI.WR.Pro.Stage,1,8,128,161,Sprintoflargegroup,2.Pro,ME - Men Elite,https://www.procyclingstats.com/race/4-jours-de-dunkerque/2024/stage-3,https://www.worldcyclingstats.com/en/race/4-jours-de-dunkerque/2024/stage-3,1,0,0,0,NULL,NULL,2025-02-06 21:00:33.3479620
4-jours-de-dunkerque/2024/stage-4,4-jours-de-dunkerque/2024/stage-4,stage-4,4-jours-de-dunkerque/2024,1,Stage 4 | Mazingarbe - Pont-à-Marcq,2024-05-17 00:00:00.000,Multi-day race,167,649,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/fa/4-jours-de-dunkerque-2024-stage-4-sprint.jpg,2.PRO.Stage,UCI.WR.Pro.Stage,1,5,128,161,0.45kmsolo,2.Pro,ME - Men Elite,https://www.procyclingstats.com/race/4-jours-de-dunkerque/2024/stage-4,https://www.worldcyclingstats.com/en/race/4-jours-de-dunkerque/2024/stage-4,1,0,0,0,NULL,NULL,2025-02-06 21:00:36.8128470
4-jours-de-dunkerque/2024/stage-5,4-jours-de-dunkerque/2024/stage-5,stage-5,4-jours-de-dunkerque/2024,1,Stage 5 | Arques - Cassel,2024-05-18 00:00:00.000,Multi-day race,179,2677,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/dd/4-jours-de-dunkerque-2024-stage-5-final-km.jpg,2.PRO.Stage,UCI.WR.Pro.Stage,3,78,128,161,Sprintof3riders,2.Pro,ME - Men Elite,https://www.procyclingstats.com/race/4-jours-de-dunkerque/2024/stage-5,https://www.worldcyclingstats.com/en/race/4-jours-de-dunkerque/2024/stage-5,1,0,0,0,NULL,NULL,2025-02-06 21:00:40.0923260
4-jours-de-dunkerque/2024/stage-6,4-jours-de-dunkerque/2024/stage-6,stage-6,4-jours-de-dunkerque/2024,1,Stage 6 | Loon-Plage - Dunkerque,2024-05-19 00:00:00.000,Multi-day race,177,468,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/aa/4-jours-de-dunkerque-2024-stage-6-final-km.jpg,2.PRO.Stage,UCI.WR.Pro.Stage,1,2,128,161,Sprintoflargegroup,2.Pro,ME - Men Elite,https://www.procyclingstats.com/race/4-jours-de-dunkerque/2024/stage-6,https://www.worldcyclingstats.com/en/race/4-jours-de-dunkerque/2024/stage-6,1,0,0,0,NULL,NULL,2025-02-06 21:00:43.2425270
4-jours-de-dunkerque/2025,NULL,NULL,NULL,0,4 Jours de Dunkerque,NULL,NULL,NULL,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,NULL,NULL,2025-02-06 19:59:59.6233490
4-jours-de-dunkerque/2025/stage-1,4-jours-de-dunkerque/2025/stage-1,stage-1,4-jours-de-dunkerque/2025,0,Stage 1 | Sainte-Catherine-lès-Arras - Amiens,2025-05-14 00:00:00.000,NULL,178,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
4-jours-de-dunkerque/2025/stage-2,4-jours-de-dunkerque/2025/stage-2,stage-2,4-jours-de-dunkerque/2025,0,Stage 2 | Avesnes sur Helpe - Crépy en Valois,2025-05-15 00:00:00.000,NULL,185,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
4-jours-de-dunkerque/2025/stage-3,4-jours-de-dunkerque/2025/stage-3,stage-3,4-jours-de-dunkerque/2025,0,Stage 3 | Valenciennes - Famars,2025-05-16 00:00:00.000,NULL,154,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
4-jours-de-dunkerque/2025/stage-4,4-jours-de-dunkerque/2025/stage-4,stage-4,4-jours-de-dunkerque/2025,0,Stage 4 | La Chapelle d’Armentières - Cassel,2025-05-17 00:00:00.000,NULL,172,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
4-jours-de-dunkerque/2025/stage-5,4-jours-de-dunkerque/2025/stage-5,stage-5,4-jours-de-dunkerque/2025,0,Stage 5 | Wormhout - Dunkerque,2025-05-18 00:00:00.000,NULL,179,NULL,NULL,Planned,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL
acht-van-bladel/2025,hapert-acht-van-bladel/2025,NULL,NULL,0,Acht van Bladel,NULL,NULL,NULL,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,2025-02-06 20:00:01.0929410
ag-tour-de-la-semois/2024,NULL,NULL,NULL,1,AG Tour de la Semois,NULL,NULL,NULL,NULL,NULL,Finished,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,NULL,NULL,NULL
ag-tour-de-la-semois/2024/stage-1,ag-tour-de-la-semois/2024/stage-1,stage-1,ag-tour-de-la-semois/2024,1,Stage 1 | Bohan - Vresse-sur-Semois,2024-09-20 00:00:00.000,Multi-day race,110,1825,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/ac/ag-tour-de-la-semois-2024-stage-1-profile.jpg,F-2.2.Stage,UCI.WE.2.Stage,2,93,70,261,Sprintofsmallgroup,2.2,WE - Women Elite,https://www.procyclingstats.com/race/ag-tour-de-la-semois/2024/stage-1,https://www.worldcyclingstats.com/en/race/ag-tour-de-la-semois/2024/stage-1,0,0,0,1,NULL,NULL,2025-01-28 13:16:29.3784630
ag-tour-de-la-semois/2024/stage-2,ag-tour-de-la-semois/2024/stage-2,stage-2,ag-tour-de-la-semois/2024,1,Stage 2 | Bertrix - Bertrix,2024-09-21 00:00:00.000,Multi-day race,112,1768,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/ce/ag-tour-de-la-semois-2024-stage-2-profile.jpg,F-2.2.Stage,UCI.WE.2.Stage,2,80,70,261,?-letusknow!,2.2,WE - Women Elite,https://www.procyclingstats.com/race/ag-tour-de-la-semois/2024/stage-2,https://www.worldcyclingstats.com/en/race/ag-tour-de-la-semois/2024/stage-2,0,0,0,1,NULL,NULL,2025-01-28 13:16:32.8053430
ain-bugey-valromey-tour/2024,tour-du-valromey/2025,NULL,NULL,1,Ain Bugey Valromey Tour,NULL,NULL,NULL,NULL,NULL,Finished,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,NULL,NULL,NULL
ain-bugey-valromey-tour/2024/stage-1,tour-du-valromey/2024/stage-1,stage-1,ain-bugey-valromey-tour/2024,1,Stage 1 | Culoz - Artemare,2024-07-10 00:00:00.000,Multi-day race,86,1345,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/da/tour-du-valromey-2024-stage-1-profile.png,J-2.1.Stage,,2,92,NULL,NULL,Sprintofsmallgroup,2.1,MJ - Men Juniors,https://www.procyclingstats.com/race/tour-du-valromey/2024/stage-1,https://www.worldcyclingstats.com/en/race/ain-bugey-valromey-tour/2024/stage-1,0,0,0,1,NULL,NULL,2025-01-28 13:16:42.9286260
ain-bugey-valromey-tour/2024/stage-2,tour-du-valromey/2024/stage-2,stage-2,ain-bugey-valromey-tour/2024,1,Stage 2 | Beaupont - Le Plateau d'Hauteville,2024-07-11 00:00:00.000,Multi-day race,130,2345,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/bc/tour-du-valromey-2024-stage-2-profile.png,J-2.1.Stage,,3,102,NULL,NULL,?-letusknow!,2.1,MJ - Men Juniors,https://www.procyclingstats.com/race/tour-du-valromey/2024/stage-2,https://www.worldcyclingstats.com/en/race/ain-bugey-valromey-tour/2024/stage-2,0,0,0,1,NULL,NULL,2025-01-28 13:16:46.3777740
ain-bugey-valromey-tour/2024/stage-3,tour-du-valromey/2024/stage-3,stage-3,ain-bugey-valromey-tour/2024,1,Stage 3 | Meximieux - Ordonnaz,2024-07-12 00:00:00.000,Multi-day race,89,1660,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/ee/tour-du-valromey-2024-stage-3-profile.png,J-2.1.Stage,,3,163,NULL,NULL,?-letusknow!,2.1,MJ - Men Juniors,https://www.procyclingstats.com/race/tour-du-valromey/2024/stage-3,https://www.worldcyclingstats.com/en/race/ain-bugey-valromey-tour/2024/stage-3,0,0,0,1,NULL,NULL,2025-01-28 13:16:49.8405480
ain-bugey-valromey-tour/2024/stage-4,tour-du-valromey/2024/stage-4,stage-4,ain-bugey-valromey-tour/2024,1,Stage 4 | Frontonas - Tignieu-Jameyzieu,2024-07-13 00:00:00.000,Multi-day race,96,1133,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/ac/tour-du-valromey-2024-stage-4-profile.png,J-2.1.Stage,,2,48,NULL,NULL,?-letusknow!,2.1,MJ - Men Juniors,https://www.procyclingstats.com/race/tour-du-valromey/2024/stage-4,https://www.worldcyclingstats.com/en/race/ain-bugey-valromey-tour/2024/stage-4,0,0,0,1,NULL,NULL,2025-01-28 13:16:53.2624370
ain-bugey-valromey-tour/2024/stage-5,tour-du-valromey/2024/stage-5,stage-5,ain-bugey-valromey-tour/2024,1,Stage 5 | Virignin - Champagne-en-Valromey,2024-07-14 00:00:00.000,Multi-day race,96,2086,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/da/tour-du-valromey-2024-stage-5-profile.png,J-2.1.Stage,,3,154,NULL,NULL,Sprintàdeux,2.1,MJ - Men Juniors,https://www.procyclingstats.com/race/tour-du-valromey/2024/stage-5,https://www.worldcyclingstats.com/en/race/ain-bugey-valromey-tour/2024/stage-5,0,0,0,1,NULL,NULL,2025-01-28 13:16:56.6527320
ain-bugey-valromey-tour/2025,tour-du-valromey/2025,NULL,NULL,0,Ain Bugey Valromey Tour,NULL,NULL,NULL,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,2025-02-06 20:00:02.6799380
alpes-gresivaudan-classic/2024,alpes-gresivaudan-classic/2024,NULL,NULL,0,Alpes Grésivaudan Classic,2024-06-02 00:00:00.000,One-day race,114,3403,NULL,Planned,https://www.procyclingstats.com/images/profiles/ca/fd/alpes-gresivaudan-classic-2024-result-profile.jpg,F-1.1,UCI.WE.1,5,304,69,230,9kmsolo,1.1,WE - Women Elite,https://www.procyclingstats.com/race/alpes-gresivaudan-classic/2024,https://www.worldcyclingstats.com/en/race/alpes-gresivaudan-classic/2024,0,0,0,1,NULL,NULL,2025-01-28 13:16:59.8970340
alpes-gresivaudan-classic/2025,alpes-gresivaudan-classic/2025,NULL,NULL,0,Alpes Grésivaudan Classic,2025-06-08 00:00:00.000,One-day race,0,NULL,NULL,Planned,NULL,F-1.1,UCI.WE.1,0,NULL,NULL,NULL,?-letusknow!,1.1,WE - Women Elite,https://www.procyclingstats.com/race/alpes-gresivaudan-classic/2025,https://www.worldcyclingstats.com/en/race/alpes-gresivaudan-classic/2025,0,0,0,0,NULL,NULL,2025-02-06 20:00:03.8696790
alpes-isere-tour/2024,rhone-alpes-isere-tour/2024,NULL,NULL,0,Alpes Isère Tour,NULL,NULL,NULL,NULL,NULL,Finished,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,NULL,NULL,2025-01-30 15:00:45.5424910
alpes-isere-tour/2024/stage-1,rhone-alpes-isere-tour/2024/stage-1,stage-1,alpes-isere-tour/2024,1,Stage 1 | Charvieu-Chavagneux - Charvieu-Chavagneux,2024-05-22 00:00:00.000,Multi-day race,128,846,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/af/rhone-alpes-isere-tour-2024-stage-1-profile.png,2.2.Stage,UCI.WR.2.Stage,1,22,296,12,Sprintoflargegroup,2.2,ME - Men Elite,https://www.procyclingstats.com/race/rhone-alpes-isere-tour/2024/stage-1,https://www.worldcyclingstats.com/en/race/alpes-isere-tour/2024/stage-1,1,0,0,0,0,NULL,2025-02-07 07:24:29.1556440
alpes-isere-tour/2024/stage-2,rhone-alpes-isere-tour/2024/stage-2,stage-2,alpes-isere-tour/2024,1,Stage 2 | Val-de-Virieu - Saint-Savin,2024-05-23 00:00:00.000,Multi-day race,143,2016,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/bf/rhone-alpes-isere-tour-2024-stage-2-profile.png,2.2.Stage,UCI.WR.2.Stage,2,121,296,12,Sprintof6riders,2.2,ME - Men Elite,https://www.procyclingstats.com/race/rhone-alpes-isere-tour/2024/stage-2,https://www.worldcyclingstats.com/en/race/alpes-isere-tour/2024/stage-2,1,0,0,0,0,NULL,2025-02-07 07:24:32.3302760
alpes-isere-tour/2024/stage-3,rhone-alpes-isere-tour/2024/stage-3,stage-3,alpes-isere-tour/2024,1,Stage 3 | Aéroport Saint-Exupery - Genas,2024-05-24 00:00:00.000,Multi-day race,154,1868,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/fb/rhone-alpes-isere-tour-2024-stage-3-profile.png,2.2.Stage,UCI.WR.2.Stage,2,76,296,12,Sprintoflargegroup,2.2,ME - Men Elite,https://www.procyclingstats.com/race/rhone-alpes-isere-tour/2024/stage-3,https://www.worldcyclingstats.com/en/race/alpes-isere-tour/2024/stage-3,1,0,0,0,0,NULL,2025-02-07 07:24:35.4161360
alpes-isere-tour/2024/stage-4,rhone-alpes-isere-tour/2024/stage-4,stage-4,alpes-isere-tour/2024,1,Stage 4 | Saint-Maurice-l'Exil - Roussillon,2024-05-25 00:00:00.000,Multi-day race,149,1802,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/df/rhone-alpes-isere-tour-2024-stage-4-profile.png,2.2.Stage,UCI.WR.2.Stage,2,64,296,12,Sprintofsmallgroup,2.2,ME - Men Elite,https://www.procyclingstats.com/race/rhone-alpes-isere-tour/2024/stage-4,https://www.worldcyclingstats.com/en/race/alpes-isere-tour/2024/stage-4,1,0,0,0,0,NULL,2025-02-07 07:24:38.3596380
alpes-isere-tour/2024/stage-5,rhone-alpes-isere-tour/2024/stage-5,stage-5,alpes-isere-tour/2024,1,Stage 5 | Saint-Pierre de Chartreuse - Le Bourg d'Oisans,2024-05-26 00:00:00.000,Multi-day race,171,3954,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/eb/rhone-alpes-isere-tour-2024-stage-5-profile.png,2.2.Stage,UCI.WR.2.Stage,4,281,296,12,Sprintàdeux,2.2,ME - Men Elite,https://www.procyclingstats.com/race/rhone-alpes-isere-tour/2024/stage-5,https://www.worldcyclingstats.com/en/race/alpes-isere-tour/2024/stage-5,1,0,0,0,0,NULL,2025-02-07 07:24:41.2502550
alpes-isere-tour/2025,rhone-alpes-isere-tour/2025,NULL,NULL,0,Alpes Isère Tour,NULL,NULL,NULL,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,2025-02-06 20:00:05.1910210
alula-tour/2024,NULL,NULL,NULL,1,AlUla Tour,NULL,NULL,NULL,NULL,NULL,Finished,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,NULL,NULL,NULL
alula-tour/2024/stage-1,alula-tour/2024/stage-1,stage-1,alula-tour/2024,1,Stage 1 | Al Manshiya Train Station - Al Manshiya Train Station,2024-01-30 00:00:00.000,Multi-day race,149,686,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/bb/alula-tour-2024-stage-1-profile.jpg,2.1.Stage,UCI.WR.1.Stage,1,4,82,270,Sprintoflargegroup,2.1,ME - Men Elite,https://www.procyclingstats.com/race/alula-tour/2024/stage-1,https://www.worldcyclingstats.com/en/race/alula-tour/2024/stage-1,1,0,0,0,NULL,NULL,2025-02-07 07:24:44.2017830
alula-tour/2024/stage-2,alula-tour/2024/stage-2,stage-2,alula-tour/2024,1,Stage 2 | AlUla Winter Park - Sharaan Nature Reserve,2024-01-31 00:00:00.000,Multi-day race,199,1359,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/de/alula-tour-2024-stage-2-profile-n2.png,2.1.Stage,UCI.WR.1.Stage,3,25,82,270,Sprintoflargegroup,2.1,ME - Men Elite,https://www.procyclingstats.com/race/alula-tour/2024/stage-2,https://www.worldcyclingstats.com/en/race/alula-tour/2024/stage-2,1,0,0,0,NULL,NULL,2025-02-07 07:24:47.5107020
alula-tour/2024/stage-3,alula-tour/2024/stage-3,stage-3,alula-tour/2024,1,Stage 3 | AlUla International Airport - AlUla Camel Cup Track,2024-02-01 00:00:00.000,Multi-day race,171,953,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/da/alula-tour-2024-stage-3-profile.png,2.1.Stage,UCI.WR.1.Stage,1,5,82,270,Sprintofsmallgroup,2.1,ME - Men Elite,https://www.procyclingstats.com/race/alula-tour/2024/stage-3,https://www.worldcyclingstats.com/en/race/alula-tour/2024/stage-3,1,0,0,0,NULL,NULL,2025-02-07 07:24:50.8992660
alula-tour/2024/stage-4,alula-tour/2024/stage-4,stage-4,alula-tour/2024,1,Stage 4 | Hegra - Maraya,2024-02-02 00:00:00.000,Multi-day race,142,1023,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/cb/alula-tour-2024-stage-4-profile.png,2.1.Stage,UCI.WR.1.Stage,3,22,82,270,Sprintofsmallgroup,2.1,ME - Men Elite,https://www.procyclingstats.com/race/alula-tour/2024/stage-4,https://www.worldcyclingstats.com/en/race/alula-tour/2024/stage-4,1,0,0,0,NULL,NULL,2025-02-07 07:24:54.4318550
alula-tour/2024/stage-5,alula-tour/2024/stage-5,stage-5,alula-tour/2024,1,Stage 5 | AlUla Old Town - Skyviews of Harrat Uwayrid,2024-02-03 00:00:00.000,Multi-day race,150,1330,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/af/alula-tour-2024-stage-5-profile.png,2.1.Stage,UCI.WR.1.Stage,2,107,82,270,Sprintofsmallgroup,2.1,ME - Men Elite,https://www.procyclingstats.com/race/alula-tour/2024/stage-5,https://www.worldcyclingstats.com/en/race/alula-tour/2024/stage-5,1,0,0,0,NULL,NULL,2025-02-07 07:24:57.7278240
alula-tour/2025,NULL,NULL,NULL,0,AlUla Tour,NULL,NULL,NULL,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,NULL,NULL,2025-02-06 20:00:06.4364410
alula-tour/2025/stage-1,alula-tour/2025/stage-1,stage-1,alula-tour/2025,1,Stage 1 | Al Manshiyah Train Station - Al Manshiyah Train Station,2025-01-28 00:00:00.000,Multi-day race,143,914,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/cc/alula-tour-2025-stage-1-sprint.jpg,2.1.Stage,UCI.WR.1.Stage,2,16,93,232,Sprintoflargegroup,2.1,ME - Men Elite,https://www.procyclingstats.com/race/alula-tour/2025/stage-1,https://www.worldcyclingstats.com/en/race/alula-tour/2025/stage-1,1,0,0,0,NULL,NULL,2025-02-07 07:25:00.8731580
alula-tour/2025/stage-2,alula-tour/2025/stage-2,stage-2,alula-tour/2025,1,Stage 2 | AlUla Old Town - Bir Jaydah Mountain Wirkah,2025-01-29 00:00:00.000,Multi-day race,131,1869,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/ca/alula-tour-2025-stage-2-profile.jpg,2.1.Stage,UCI.WR.1.Stage,3,134,93,232,0.45kmsolo,2.1,ME - Men Elite,https://www.procyclingstats.com/race/alula-tour/2025/stage-2,https://www.worldcyclingstats.com/en/race/alula-tour/2025/stage-2,1,0,0,0,NULL,NULL,2025-02-07 07:25:04.2971230
alula-tour/2025/stage-3,alula-tour/2025/stage-3,stage-3,alula-tour/2025,1,Stage 3 | Hegra - Tayma Fort,2025-01-30 00:00:00.000,Multi-day race,181,974,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/bd/alula-tour-2025-stage-3-sprint.jpg,2.1.Stage,UCI.WR.1.Stage,2,6,93,232,Sprintoflargegroup,2.1,ME - Men Elite,https://www.procyclingstats.com/race/alula-tour/2025/stage-3,https://www.worldcyclingstats.com/en/race/alula-tour/2025/stage-3,1,0,0,0,NULL,NULL,2025-02-07 07:25:07.5966080
alula-tour/2025/stage-4,alula-tour/2025/stage-4,stage-4,alula-tour/2025,1,Stage 4 | Maraya - Skyviews of Harrat Uwayrid,2025-01-31 00:00:00.000,Multi-day race,141,1254,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/ed/alula-tour-2025-stage-4-sprint.jpg,2.1.Stage,UCI.WR.1.Stage,2,97,93,232,9.1kmsolo,2.1,ME - Men Elite,https://www.procyclingstats.com/race/alula-tour/2025/stage-4,https://www.worldcyclingstats.com/en/race/alula-tour/2025/stage-4,1,0,0,0,NULL,NULL,2025-02-07 07:25:11.1158440
alula-tour/2025/stage-5,alula-tour/2025/stage-5,stage-5,alula-tour/2025,1,Stage 5 | AlUla Camel Cup Track - AlUla Camel Cup Track,2025-02-01 00:00:00.000,Multi-day race,170,896,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/be/alula-tour-2025-stage-5-sprint.jpg,2.1.Stage,UCI.WR.1.Stage,2,7,93,232,Sprintoflargegroup,2.1,ME - Men Elite,https://www.procyclingstats.com/race/alula-tour/2025/stage-5,https://www.worldcyclingstats.com/en/race/alula-tour/2025/stage-5,1,0,0,0,NULL,NULL,2025-02-07 07:25:14.5588570
amstel-gold-race/2024,amstel-gold-race/2024,NULL,NULL,0,Amstel Gold Race,2024-04-14 00:00:00.000,One-day race,254,3290,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/fc/amstel-gold-race-2024-result-profile.jpg,1.WT.B,UCI.WR.C1,2,110,12,884,Sprintof4riders,1.UWT,ME - Men Elite,https://www.procyclingstats.com/race/amstel-gold-race/2024,https://www.worldcyclingstats.com/en/race/amstel-gold-race/2024,1,0,0,0,NULL,NULL,2025-02-07 07:25:18.6560810
amstel-gold-race/2025,amstel-gold-race/2025,NULL,NULL,0,Amstel Gold Race,2025-04-20 00:00:00.000,One-day race,0,NULL,NULL,Planned,NULL,1.WT.B,UCI.WR.C1,0,NULL,NULL,467,?-letusknow!,1.UWT,ME - Men Elite,https://www.procyclingstats.com/race/amstel-gold-race/2025,https://www.worldcyclingstats.com/en/race/amstel-gold-race/2025,0,0,0,0,NULL,NULL,2025-02-06 20:00:14.9923220
amstel-gold-race-ladies-edition/2024,amstel-gold-race-we/2024,NULL,NULL,0,Amstel Gold Race Ladies Edition,2024-04-14 00:00:00.000,One-day race,101,1244,NULL,Planned,https://www.procyclingstats.com/images/profiles/ca/aa/amstel-gold-race-we-2024-result-profile.jpg,F-1.WWT,UCI.WE.WWT,2,63,8,1225,Sprintof23riders,1.WWT,WE - Women Elite,https://www.procyclingstats.com/race/amstel-gold-race-we/2024,https://www.worldcyclingstats.com/en/race/amstel-gold-race-ladies-edition/2024,0,0,0,1,NULL,NULL,2025-01-30 15:00:54.2557470
amstel-gold-race-ladies-edition/2025,amstel-gold-race-we/2025,NULL,NULL,0,Amstel Gold Race Ladies Edition,NULL,NULL,NULL,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,2025-02-06 20:00:16.3182400
antwerp-port-epic/2024,antwerp-port-epic/2024,NULL,NULL,0,Antwerp Port Epic,2024-05-19 00:00:00.000,One-day race,178,183,NULL,Finished,https://www.procyclingstats.com/images/profiles/ca/ea/antwerp-port-epic-2024-result-profile.jpg,1.1,UCI.WR.1,1,0,119,182,Sprintofsmallgroup,1.1,ME - Men Elite,https://www.procyclingstats.com/race/antwerp-port-epic/2024,https://www.worldcyclingstats.com/en/race/antwerp-port-epic/2024,1,0,0,0,0,NULL,2025-02-07 07:25:22.2582270
antwerp-port-epic/2025,antwerp-port-epic/2025,NULL,NULL,0,Antwerp Port Epic,2025-05-25 00:00:00.000,One-day race,0,NULL,NULL,Planned,NULL,1.1,UCI.WR.1,0,NULL,NULL,NULL,?-letusknow!,1.1,ME - Men Elite,https://www.procyclingstats.com/race/antwerp-port-epic/2025,https://www.worldcyclingstats.com/en/race/antwerp-port-epic/2025,0,0,0,0,NULL,NULL,2025-02-06 20:00:17.5148670
antwerp-port-epic-ladies/2024,antwerp-port-epic-ladies/2024,NULL,NULL,0,Antwerp Port Epic Ladies,2024-05-19 00:00:00.000,One-day race,140,136,NULL,Planned,https://www.procyclingstats.com/images/profiles/ca/fd/antwerp-port-epic-ladies-2024-result-profile.png,F-1.1,UCI.WE.1,1,0,74,216,Sprintofsmallgroup,1.1,WE - Women Elite,https://www.procyclingstats.com/race/antwerp-port-epic-ladies/2024,https://www.worldcyclingstats.com/en/race/antwerp-port-epic-ladies/2024,0,0,0,1,NULL,NULL,2025-01-28 13:17:36.6108890
