Id,PcsId,StageId,StageRaceId,StageRace,Name,RaceDate,RaceType,Distance,Status,ProfileImageUrl,PointsScale,UciScale,ParcoursType,ProfileScore,RaceRanking,Elevation,StartlistQuality,DecidingMethod,Classification,Category,PcsUrl,WcsUrl,PointsRetrieved,GameOrganized,Updated
4-jours-de-dunkerque/2022,,,,True,4 Jours de Dunkerque,,,,WaitingForStartList,,,,,,,,,,,,,,,,
4-jours-de-dunkerque/2022/stage-1,4-jours-de-dunkerque/2022/stage-1,,,True,4 Jours de Dunkerque / Grand Prix des Hauts de France,2022-05-03,Multi-day race,161.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/ed/4-jours-de-dunkerque-2022-stage-1-profile.jpg,2.PRO.Stage,UCI.WR.HC.Stage - TM2022,1.0,7.0,120.0,713.0,159.0,Sprintoflargegroup,2.Pro,ME - Men Elite,https://www.procyclingstats.com//race/4-jours-de-dunkerque/2022/stage-1,https://www.worldcyclingstats.com/en/race/4-jours-de-dunkerque/2022/stage-1,,,2025-01-20 12:58:23.593780
4-jours-de-dunkerque/2022/stage-2,4-jours-de-dunkerque/2022/stage-2,,,True,4 Jours de Dunkerque / Grand Prix des Hauts de France,2022-05-04,Multi-day race,182.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/dd/4-jours-de-dunkerque-2022-stage-2-profile.jpg,2.PRO.Stage,UCI.WR.HC.Stage - TM2022,1.0,18.0,120.0,1089.0,159.0,Sprintoflargegroup,2.Pro,ME - Men Elite,https://www.procyclingstats.com//race/4-jours-de-dunkerque/2022/stage-2,https://www.worldcyclingstats.com/en/race/4-jours-de-dunkerque/2022/stage-2,,,2025-01-20 12:58:25.104734
4-jours-de-dunkerque/2022/stage-3,4-jours-de-dunkerque/2022/stage-3,,,True,4 Jours de Dunkerque / Grand Prix des Hauts de France,2022-05-05,Multi-day race,170.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/bd/4-jours-de-dunkerque-2022-stage-3-profile.jpg,2.PRO.Stage,UCI.WR.HC.Stage - TM2022,3.0,30.0,120.0,1573.0,159.0,Sprintoflargegroup,2.Pro,ME - Men Elite,https://www.procyclingstats.com//race/4-jours-de-dunkerque/2022/stage-3,https://www.worldcyclingstats.com/en/race/4-jours-de-dunkerque/2022/stage-3,,,2025-01-20 12:58:26.565782
4-jours-de-dunkerque/2022/stage-4,4-jours-de-dunkerque/2022/stage-4,,,True,4 Jours de Dunkerque / Grand Prix des Hauts de France,2022-05-06,Multi-day race,171.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/ed/4-jours-de-dunkerque-2022-stage-4-profile.jpg,2.PRO.Stage,UCI.WR.HC.Stage - TM2022,2.0,15.0,120.0,1129.0,159.0,Sprintoflargegroup,2.Pro,ME - Men Elite,https://www.procyclingstats.com//race/4-jours-de-dunkerque/2022/stage-4,https://www.worldcyclingstats.com/en/race/4-jours-de-dunkerque/2022/stage-4,,,2025-01-20 12:58:27.966963
4-jours-de-dunkerque/2022/stage-5,4-jours-de-dunkerque/2022/stage-5,,,True,4 Jours de Dunkerque / Grand Prix des Hauts de France,2022-05-07,Multi-day race,184.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/dd/4-jours-de-dunkerque-2022-stage-5-profile.jpg,2.PRO.Stage,UCI.WR.HC.Stage - TM2022,3.0,95.0,120.0,2336.0,159.0,Sprintofsmallgroup,2.Pro,ME - Men Elite,https://www.procyclingstats.com//race/4-jours-de-dunkerque/2022/stage-5,https://www.worldcyclingstats.com/en/race/4-jours-de-dunkerque/2022/stage-5,,,2025-01-20 12:58:29.365788
4-jours-de-dunkerque/2022/stage-6,4-jours-de-dunkerque/2022/stage-6,,,True,4 Jours de Dunkerque / Grand Prix des Hauts de France,2022-05-08,Multi-day race,183.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/be/4-jours-de-dunkerque-2022-stage-6-profile.jpg,2.PRO.Stage,UCI.WR.HC.Stage - TM2022,1.0,8.0,120.0,668.0,159.0,Sprintoflargegroup,2.Pro,ME - Men Elite,https://www.procyclingstats.com//race/4-jours-de-dunkerque/2022/stage-6,https://www.worldcyclingstats.com/en/race/4-jours-de-dunkerque/2022/stage-6,,,2025-01-20 12:58:30.783130
4-jours-de-dunkerque/2023,,,,False,4 Jours de Dunkerque,,,,New,,,,,,,,,,,,,,,,2025-01-20 12:57:10.808081
4-jours-de-dunkerque/2024,,,,True,4 Jours de Dunkerque,,,,WaitingForStartList,,,,,,,,,,,,,,,,
4-jours-de-dunkerque/2024/stage-1,4-jours-de-dunkerque/2024/stage-1,,,False,Stage 1 | Dunkerque - Le Touquet,,,173.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:34.375316
4-jours-de-dunkerque/2024/stage-2,4-jours-de-dunkerque/2024/stage-2,,,False,Stage 2 | Wimereux - Abbeville,,,184.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:34.471210
4-jours-de-dunkerque/2024/stage-3,4-jours-de-dunkerque/2024/stage-3,,,False,Stage 3 | Saint-Laurent-Blangy - Bouchain,,,165.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:34.484897
4-jours-de-dunkerque/2024/stage-4,4-jours-de-dunkerque/2024/stage-4,,,False,Stage 4 | Mazingarbe - Pont-à-Marcq,,,167.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:34.498540
4-jours-de-dunkerque/2024/stage-5,4-jours-de-dunkerque/2024/stage-5,,,False,Stage 5 | Arques - Cassel,,,179.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:34.511707
4-jours-de-dunkerque/2024/stage-6,4-jours-de-dunkerque/2024/stage-6,,,False,Stage 6 | Loon-Plage - Dunkerque,,,177.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:34.525791
4-jours-de-dunkerque/2025,,,,True,4 Jours de Dunkerque,,,,WaitingForStartList,,,,,,,,,,,,,,,,2025-01-20 07:37:16.890317
4-jours-de-dunkerque/2025/stage-1,4-jours-de-dunkerque/2025/stage-1,,,True,4 Jours de Dunkerque / Grand Prix des Hauts de France,2025-05-14,Multi-day race,178.0,WaitingForStartList,,2.PRO.Stage,UCI.WR.Pro.Stage,0.0,,,,,?-letusknow!,2.Pro,ME - Men Elite,,,,,2025-01-20 07:42:06.514180
4-jours-de-dunkerque/2025/stage-2,4-jours-de-dunkerque/2025/stage-2,,,True,4 Jours de Dunkerque / Grand Prix des Hauts de France,2025-05-15,Multi-day race,185.0,WaitingForStartList,,2.PRO.Stage,UCI.WR.Pro.Stage,0.0,,,,,?-letusknow!,2.Pro,ME - Men Elite,,,,,2025-01-20 07:42:09.756388
4-jours-de-dunkerque/2025/stage-3,4-jours-de-dunkerque/2025/stage-3,,,True,4 Jours de Dunkerque / Grand Prix des Hauts de France,2025-05-16,Multi-day race,154.0,WaitingForStartList,,2.PRO.Stage,UCI.WR.Pro.Stage,0.0,,,,,?-letusknow!,2.Pro,ME - Men Elite,,,,,2025-01-20 07:42:12.951438
4-jours-de-dunkerque/2025/stage-4,4-jours-de-dunkerque/2025/stage-4,,,True,4 Jours de Dunkerque / Grand Prix des Hauts de France,2025-05-17,Multi-day race,172.0,WaitingForStartList,,2.PRO.Stage,UCI.WR.Pro.Stage,0.0,,,,,?-letusknow!,2.Pro,ME - Men Elite,,,,,2025-01-20 07:42:16.123220
4-jours-de-dunkerque/2025/stage-5,4-jours-de-dunkerque/2025/stage-5,,,True,4 Jours de Dunkerque / Grand Prix des Hauts de France,2025-05-18,Multi-day race,179.0,WaitingForStartList,,2.PRO.Stage,UCI.WR.Pro.Stage,0.0,,,,,?-letusknow!,2.Pro,ME - Men Elite,,,,,2025-01-20 07:42:19.323488
acht-van-bladel/2022,hapert-acht-van-bladel/2025,,,True,Acht van Bladel,,,,WaitingForStartList,,,,,,,,,,,,,,,,
acht-van-bladel/2022/stage-1,hapert-acht-van-bladel/2025/stage-1,,,True,BESTRONICS Acht van Bladel,2025-06-27,Multi-day race,0.0,WaitingForStartList,,J-2.1.Stage,,0.0,,,,,?-letusknow!,2.1,MJ - Men Juniors,https://www.procyclingstats.com//race/hapert-acht-van-bladel/2025/stage-1,https://www.worldcyclingstats.com/en/race/acht-van-bladel/2022/stage-1,,,2025-01-20 12:58:34.565411
acht-van-bladel/2022/stage-2,hapert-acht-van-bladel/2025/stage-2,,,True,BESTRONICS Acht van Bladel,2025-06-28,Multi-day race,0.0,WaitingForStartList,,J-2.1.Stage,,0.0,,,,,?-letusknow!,2.1,MJ - Men Juniors,https://www.procyclingstats.com//race/hapert-acht-van-bladel/2025/stage-2,https://www.worldcyclingstats.com/en/race/acht-van-bladel/2022/stage-2,,,2025-01-20 12:58:35.770424
acht-van-bladel/2022/stage-3,hapert-acht-van-bladel/2025/stage-3,,,True,BESTRONICS Acht van Bladel,2025-06-29,Multi-day race,0.0,WaitingForStartList,,J-2.1.Stage,,0.0,,,,,?-letusknow!,2.1,MJ - Men Juniors,https://www.procyclingstats.com//race/hapert-acht-van-bladel/2025/stage-3,https://www.worldcyclingstats.com/en/race/acht-van-bladel/2022/stage-3,,,2025-01-20 12:58:37.004351
acht-van-bladel/2023,,,,False,Acht van Bladel,,,,New,,,,,,,,,,,,,,,,2025-01-20 12:57:11.286028
acht-van-bladel/2025,hapert-acht-van-bladel/2025,,,True,Acht van Bladel,,,,WaitingForStartList,,,,,,,,,,,,,,,,2025-01-20 07:37:17.547274
acht-van-bladel/2025/stage-1,hapert-acht-van-bladel/2025/stage-1,,,True,BESTRONICS Acht van Bladel,2025-06-27,Multi-day race,0.0,WaitingForStartList,,J-2.1.Stage,,0.0,,,,,?-letusknow!,2.1,MJ - Men Juniors,,,,,2025-01-20 07:42:29.013557
acht-van-bladel/2025/stage-2,hapert-acht-van-bladel/2025/stage-2,,,True,BESTRONICS Acht van Bladel,2025-06-28,Multi-day race,0.0,WaitingForStartList,,J-2.1.Stage,,0.0,,,,,?-letusknow!,2.1,MJ - Men Juniors,,,,,2025-01-20 07:42:32.205948
acht-van-bladel/2025/stage-3,hapert-acht-van-bladel/2025/stage-3,,,True,BESTRONICS Acht van Bladel,2025-06-29,Multi-day race,0.0,WaitingForStartList,,J-2.1.Stage,,0.0,,,,,?-letusknow!,2.1,MJ - Men Juniors,,,,,2025-01-20 07:42:35.403787
adriatica-ionica-race/2022,,,,True,Adriatica Ionica Race,,,,WaitingForStartList,,,,,,,,,,,,,,,,
adriatica-ionica-race/2022/stage-1,adriatica-ionica-race/2022/stage-1,,,True,Adriatica Ionica Race / Sulle Rotte della Serenissima,2022-06-04,Multi-day race,194.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/cf/adriatica-ionica-race-2022-stage-1-profile.jpg,2.1.Stage,UCI.WR.1.Stage,2.0,56.0,177.0,1324.0,57.0,Sprintofsmallgroup,2.1,ME - Men Elite,https://www.procyclingstats.com//race/adriatica-ionica-race/2022/stage-1,https://www.worldcyclingstats.com/en/race/adriatica-ionica-race/2022/stage-1,,,2025-01-20 12:58:39.820507
adriatica-ionica-race/2022/stage-2,adriatica-ionica-race/2022/stage-2,,,True,Adriatica Ionica Race / Sulle Rotte della Serenissima,2022-06-05,Multi-day race,175.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/ce/adriatica-ionica-race-2022-stage-2-profile.jpg,2.1.Stage,UCI.WR.1.Stage,5.0,293.0,177.0,3183.0,57.0,Sprintofsmallgroup,2.1,ME - Men Elite,https://www.procyclingstats.com//race/adriatica-ionica-race/2022/stage-2,https://www.worldcyclingstats.com/en/race/adriatica-ionica-race/2022/stage-2,,,2025-01-20 12:58:41.187198
adriatica-ionica-race/2022/stage-3,adriatica-ionica-race/2022/stage-3,,,True,Adriatica Ionica Race / Sulle Rotte della Serenissima,2022-06-06,Multi-day race,141.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/de/adriatica-ionica-race-2022-stage-3-profile.jpg,2.1.Stage,UCI.WR.1.Stage,2.0,190.0,177.0,1941.0,57.0,13.5kmsolo,2.1,ME - Men Elite,https://www.procyclingstats.com//race/adriatica-ionica-race/2022/stage-3,https://www.worldcyclingstats.com/en/race/adriatica-ionica-race/2022/stage-3,,,2025-01-20 12:58:42.543860
adriatica-ionica-race/2022/stage-4,adriatica-ionica-race/2022/stage-4,,,True,Adriatica Ionica Race / Sulle Rotte della Serenissima,2022-06-07,Multi-day race,165.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/ec/adriatica-ionica-race-2022-stage-4-profile.jpg,2.1.Stage,UCI.WR.1.Stage,1.0,112.0,177.0,1911.0,57.0,10.5kmsolo,2.1,ME - Men Elite,https://www.procyclingstats.com//race/adriatica-ionica-race/2022/stage-4,https://www.worldcyclingstats.com/en/race/adriatica-ionica-race/2022/stage-4,,,2025-01-20 12:58:43.968421
adriatica-ionica-race/2022/stage-5,adriatica-ionica-race/2022/stage-5,,,True,Adriatica Ionica Race / Sulle Rotte della Serenissima,2022-06-08,Multi-day race,152.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/fc/adriatica-ionica-race-2022-stage-5-profile.jpg,2.1.Stage,UCI.WR.1.Stage,2.0,79.0,177.0,2054.0,57.0,Sprintofsmallgroup,2.1,ME - Men Elite,https://www.procyclingstats.com//race/adriatica-ionica-race/2022/stage-5,https://www.worldcyclingstats.com/en/race/adriatica-ionica-race/2022/stage-5,,,2025-01-20 12:58:45.368486
adriatica-ionica-race/2023,,,,False,Adriatica Ionica Race,,,,New,,,,,,,,,,,,,,,,2025-01-20 12:57:13.104042
ag-tour-de-la-semois/2022,,,,True,AG Tour de la Semois,,,,WaitingForStartList,,,,,,,,,,,,,,,,
ag-tour-de-la-semois/2022/stage-1,ag-tour-de-la-semois/2022/stage-1,,,True,AG Tour de la Semois,2022-09-16,Multi-day race,110.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/be/ag-tour-de-la-semois-2022-stage-1-profile.jpg,F-2.2.Stage,UCI.WE.2.Stage,2.0,100.0,46.0,1760.0,284.0,?-letusknow!,2.2,WE - Women Elite,https://www.procyclingstats.com//race/ag-tour-de-la-semois/2022/stage-1,https://www.worldcyclingstats.com/en/race/ag-tour-de-la-semois/2022/stage-1,,,2025-01-20 12:58:48.238250
ag-tour-de-la-semois/2022/stage-2,ag-tour-de-la-semois/2022/stage-2,,,True,AG Tour de la Semois,2022-09-17,Multi-day race,113.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/bb/ag-tour-de-la-semois-2022-stage-2-profile.jpg,F-2.2.Stage,UCI.WE.2.Stage,2.0,97.0,46.0,1883.0,284.0,Sprintofsmallgroup,2.2,WE - Women Elite,https://www.procyclingstats.com//race/ag-tour-de-la-semois/2022/stage-2,https://www.worldcyclingstats.com/en/race/ag-tour-de-la-semois/2022/stage-2,,,2025-01-20 12:58:49.611470
ag-tour-de-la-semois/2023,,,,False,AG Tour de la Semois,,,,New,,,,,,,,,,,,,,,,2025-01-20 12:57:13.036855
ag-tour-de-la-semois/2024,,,,True,AG Tour de la Semois,,,,WaitingForStartList,,,,,,,,,,,,,,,,
ag-tour-de-la-semois/2024/stage-1,ag-tour-de-la-semois/2024/stage-1,,,False,Stage 1 | Bohan - Vresse-sur-Semois,,,110.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:35.765395
ag-tour-de-la-semois/2024/stage-2,ag-tour-de-la-semois/2024/stage-2,,,False,Stage 2 | Bertrix - Bertrix,,,112.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:35.794343
ag-tour-de-la-semois/2025,,,,True,AG Tour de la Semois,,,,WaitingForStartList,,,,,,,,,,,,,,,,2025-01-20 07:37:18.857556
ag-tour-de-la-semois/2025/stage-1,ag-tour-de-la-semois/2025/stage-1,,,True,Tour de la Semois,2025-09-19,Multi-day race,0.0,WaitingForStartList,,F-2.2.Stage,UCI.WE.2.Stage,0.0,,,,,?-letusknow!,2.2,WE - Women Elite,,,,,2025-01-20 07:42:41.791808
ag-tour-de-la-semois/2025/stage-2,ag-tour-de-la-semois/2025/stage-2,,,True,Tour de la Semois,2025-09-20,Multi-day race,0.0,WaitingForStartList,,F-2.2.Stage,UCI.WE.2.Stage,0.0,,,,,?-letusknow!,2.2,WE - Women Elite,,,,,2025-01-20 07:42:45.007630
ain-bugey-valromey-tour/2022,tour-du-valromey/2025,,,False,Ain Bugey Valromey Tour,,,,NotFound,,,,,,,,,,,,,,,,
ain-bugey-valromey-tour/2023,,,,False,Ain Bugey Valromey Tour,,,,New,,,,,,,,,,,,,,,,2025-01-20 12:57:11.525190
ain-bugey-valromey-tour/2024,tour-du-valromey/2025,,,False,Ain Bugey Valromey Tour,,,,NotFound,,,,,,,,,,,,,,,,
ain-bugey-valromey-tour/2025,tour-du-valromey/2025,,,False,Ain Bugey Valromey Tour,,,,NotFound,,,,,,,,,,,,,,,,2025-01-20 07:37:17.743944
alanya-cup/2023,,,,False,Alanya Cup,,,,New,,,,,,,,,,,,,,,,2025-01-20 12:57:09.929497
alpes-gresivaudan-classic/2022,alpes-gresivaudan-classic/2022,,,False,Alpes Gresivaudan Classic,2022-06-05,One-day race,120.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/bc/alpes-gresivaudan-classic-2022-result-profile.jpg,F-1.2,UCI.WE.2,5.0,278.0,,3243.0,77.0,?-letusknow!,1.2,WE - Women Elite,https://www.procyclingstats.com//race/alpes-gresivaudan-classic/2022,https://www.worldcyclingstats.com/en/race/alpes-gresivaudan-classic/2022,,,2025-01-20 12:58:53.368746
alpes-gresivaudan-classic/2023,,,,False,Alpes Grésivaudan Classic,,,,New,,,,,,,,,,,,,,,,2025-01-20 12:57:11.103496
alpes-gresivaudan-classic/2024,alpes-gresivaudan-classic/2024,,,False,Alpes Gresivaudan Classic,2024-06-02,One-day race,114.0,WaitingForResults,https://www.procyclingstats.com//images/profiles/ca/fd/alpes-gresivaudan-classic-2024-result-profile.jpg,F-1.1,UCI.WE.1,5.0,304.0,69.0,3403.0,230.0,9kmsolo,1.1,WE - Women Elite,https://www.procyclingstats.com//race/alpes-gresivaudan-classic/2024,https://www.worldcyclingstats.com/en/race/alpes-gresivaudan-classic/2024,,,2025-01-20 11:22:39.710852
alpes-gresivaudan-classic/2025,alpes-gresivaudan-classic/2025,,,False,Alpes Gresivaudan Classic,2025-06-08,One-day race,0.0,WaitingForStartList,,F-1.1,UCI.WE.1,0.0,,,,,?-letusknow!,1.1,WE - Women Elite,,,,,2025-01-20 07:42:54.563315
alpes-isere-tour/2022,rhone-alpes-isere-tour/2025,,,True,Alpes Isère Tour,,,,WaitingForStartList,,,,,,,,,,,,,,,,
alpes-isere-tour/2022/stage-1,rhone-alpes-isere-tour/2025/stage-1,,,True,Alpes Isère Tour,2025-05-28,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,https://www.procyclingstats.com//race/rhone-alpes-isere-tour/2025/stage-1,https://www.worldcyclingstats.com/en/race/alpes-isere-tour/2022/stage-1,,,2025-01-20 12:58:57.164395
alpes-isere-tour/2022/stage-2,rhone-alpes-isere-tour/2025/stage-2,,,True,Alpes Isère Tour,2025-05-29,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,https://www.procyclingstats.com//race/rhone-alpes-isere-tour/2025/stage-2,https://www.worldcyclingstats.com/en/race/alpes-isere-tour/2022/stage-2,,,2025-01-20 12:58:58.385605
alpes-isere-tour/2022/stage-3,rhone-alpes-isere-tour/2025/stage-3,,,True,Alpes Isère Tour,2025-05-30,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,https://www.procyclingstats.com//race/rhone-alpes-isere-tour/2025/stage-3,https://www.worldcyclingstats.com/en/race/alpes-isere-tour/2022/stage-3,,,2025-01-20 12:58:59.592323
alpes-isere-tour/2022/stage-4,rhone-alpes-isere-tour/2025/stage-4,,,True,Alpes Isère Tour,2025-05-31,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,https://www.procyclingstats.com//race/rhone-alpes-isere-tour/2025/stage-4,https://www.worldcyclingstats.com/en/race/alpes-isere-tour/2022/stage-4,,,2025-01-20 12:59:00.823026
alpes-isere-tour/2022/stage-5,rhone-alpes-isere-tour/2025/stage-5,,,True,Alpes Isère Tour,2025-06-01,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,https://www.procyclingstats.com//race/rhone-alpes-isere-tour/2025/stage-5,https://www.worldcyclingstats.com/en/race/alpes-isere-tour/2022/stage-5,,,2025-01-20 12:59:02.029604
alpes-isere-tour/2023,,,,False,Alpes Isère Tour,,,,New,,,,,,,,,,,,,,,,2025-01-20 12:57:10.930517
alpes-isere-tour/2024,rhone-alpes-isere-tour/2025,,,True,Alpes Isère Tour,,,,WaitingForStartList,,,,,,,,,,,,,,,,
alpes-isere-tour/2024/stage-1,rhone-alpes-isere-tour/2025/stage-1,,,False,Stage 1 |  -,,,0.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:42.196613
alpes-isere-tour/2024/stage-2,rhone-alpes-isere-tour/2025/stage-2,,,False,Stage 2 |  -,,,0.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:42.223435
alpes-isere-tour/2024/stage-3,rhone-alpes-isere-tour/2025/stage-3,,,False,Stage 3 |  -,,,0.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:42.239278
alpes-isere-tour/2024/stage-4,rhone-alpes-isere-tour/2025/stage-4,,,False,Stage 4 |  -,,,0.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:42.256783
alpes-isere-tour/2024/stage-5,rhone-alpes-isere-tour/2025/stage-5,,,False,Stage 5 |  -,,,0.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:42.270658
alpes-isere-tour/2025,rhone-alpes-isere-tour/2025,,,True,Alpes Isère Tour,,,,WaitingForStartList,,,,,,,,,,,,,,,,2025-01-20 07:37:17.101088
alpes-isere-tour/2025/stage-1,rhone-alpes-isere-tour/2025/stage-1,,,True,Alpes Isère Tour,2025-05-28,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 07:43:04.230280
alpes-isere-tour/2025/stage-2,rhone-alpes-isere-tour/2025/stage-2,,,True,Alpes Isère Tour,2025-05-29,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 07:43:07.437562
alpes-isere-tour/2025/stage-3,rhone-alpes-isere-tour/2025/stage-3,,,True,Alpes Isère Tour,2025-05-30,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 07:43:10.601271
alpes-isere-tour/2025/stage-4,rhone-alpes-isere-tour/2025/stage-4,,,True,Alpes Isère Tour,2025-05-31,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 07:43:13.772738
alpes-isere-tour/2025/stage-5,rhone-alpes-isere-tour/2025/stage-5,,,True,Alpes Isère Tour,2025-06-01,Multi-day race,0.0,WaitingForStartList,,2.2.Stage,UCI.WR.2.Stage,0.0,,,,,?-letusknow!,2.2,ME - Men Elite,,,,,2025-01-20 07:43:16.952083
alula-tour/2023,,,,False,AlUla Tour,,,,New,,,,,,,,,,,,,,,,2025-01-20 12:57:09.781571
alula-tour/2024,,,,True,AlUla Tour,,,,WaitingForStartList,,,,,,,,,,,,,,,,
alula-tour/2024/stage-1,alula-tour/2024/stage-1,,,False,Stage 1 | Al Manshiya Train Station - Al Manshiya Train Station,,,149.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:43.502439
alula-tour/2024/stage-2,alula-tour/2024/stage-2,,,False,Stage 2 | AlUla Winter Park - Sharaan Nature Reserve,,,199.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:43.521566
alula-tour/2024/stage-3,alula-tour/2024/stage-3,,,False,Stage 3 | AlUla International Airport - AlUla Camel Cup Track,,,171.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:43.530489
alula-tour/2024/stage-4,alula-tour/2024/stage-4,,,False,Stage 4 | Hegra - Maraya,,,142.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:43.539534
alula-tour/2024/stage-5,alula-tour/2024/stage-5,,,False,Stage 5 | AlUla Old Town - Skyviews of Harrat Uwayrid,,,150.0,New,,,,,,,,,,,,,,,,2025-01-20 11:22:43.550632
alula-tour/2025,,,,True,AlUla Tour,,,,WaitingForStartList,,,,,,,,,,,,,,,,2025-01-20 07:37:15.525946
alula-tour/2025/stage-1,alula-tour/2025/stage-1,,,True,AlUla Tour,2025-01-28,Multi-day race,143.0,WaitingForStartList,https://www.procyclingstats.com//images/profiles/ca/cc/alula-tour-2025-stage-1-profile.jpg,2.1.Stage,UCI.WR.1.Stage,2.0,16.0,,914.0,136.0,?-letusknow!,2.1,ME - Men Elite,,,,,2025-01-20 07:43:23.353606
alula-tour/2025/stage-2,alula-tour/2025/stage-2,,,True,AlUla Tour,2025-01-29,Multi-day race,158.0,WaitingForStartList,https://www.procyclingstats.com//images/profiles/ca/ca/alula-tour-2025-stage-2-profile.jpg,2.1.Stage,UCI.WR.1.Stage,3.0,172.0,,2415.0,136.0,?-letusknow!,2.1,ME - Men Elite,,,,,2025-01-20 07:43:26.551490
alula-tour/2025/stage-3,alula-tour/2025/stage-3,,,True,AlUla Tour,2025-01-30,Multi-day race,181.0,WaitingForStartList,https://www.procyclingstats.com//images/profiles/ca/bd/alula-tour-2025-stage-3-profile.jpg,2.1.Stage,UCI.WR.1.Stage,2.0,6.0,,974.0,136.0,?-letusknow!,2.1,ME - Men Elite,,,,,2025-01-20 07:43:29.725197
alula-tour/2025/stage-4,alula-tour/2025/stage-4,,,True,AlUla Tour,2025-01-31,Multi-day race,141.0,WaitingForStartList,https://www.procyclingstats.com//images/profiles/ca/ed/alula-tour-2025-stage-4-profile.jpg,2.1.Stage,UCI.WR.1.Stage,2.0,97.0,,1254.0,136.0,?-letusknow!,2.1,ME - Men Elite,,,,,2025-01-20 07:43:32.899928
alula-tour/2025/stage-5,alula-tour/2025/stage-5,,,True,AlUla Tour,2025-02-01,Multi-day race,170.0,WaitingForStartList,https://www.procyclingstats.com//images/profiles/ca/be/alula-tour-2025-stage-5-profile.jpg,2.1.Stage,UCI.WR.1.Stage,2.0,7.0,,896.0,136.0,?-letusknow!,2.1,ME - Men Elite,,,,,2025-01-20 07:43:36.081652
amstel-gold-race/2022,amstel-gold-race/2022,,,False,Amstel Gold Race,2022-04-10,One-day race,254.0,Finished,https://www.procyclingstats.com//images/profiles/ca/dd/amstel-gold-race-2022-result-profile.jpg,1.WT.B,UCI.WR.C1,2.0,112.0,22.0,3460.0,705.0,Sprintàdeux,1.UWT,ME - Men Elite,https://www.procyclingstats.com//race/amstel-gold-race/2022,https://www.worldcyclingstats.com/en/race/amstel-gold-race/2022,True,,2025-01-20 15:16:31.929080
amstel-gold-race/2023,,,,False,Amstel Gold Race,,,,New,,,,,,,,,,,,,,,,2025-01-20 12:57:10.421394
